id;name;rarity;defense;speed;slot
1;Leather Helmet;common;2;0.01;helmet
2;Leather Chest;common;4;0.00;chest
3;Leather Gloves;common;1;0.01;gloves
4;Leather Pants;common;3;0.00;pants
5;Leather Boots;common;2;0.01;boots
6;Iron Helmet;common;3;0.00;helmet
7;Iron Chest;common;5;0.00;chest
8;Iron Gloves;common;2;0.00;gloves
9;Iron Pants;common;4;0.00;pants
10;Iron Boots;common;3;0.00;boots
11;Bronze Helmet;common;3;0.01;helmet
12;Bronze Chest;common;4;0.01;chest
13;Bronze Gloves;common;2;0.01;gloves
14;Bronze Pants;common;3;0.01;pants
15;Bronze Boots;common;2;0.01;boots
16;Hide Helmet;common;2;0.02;helmet
17;Hide Chest;common;3;0.02;chest
18;Hide Gloves;common;1;0.02;gloves
19;Hide Pants;common;2;0.02;pants
20;Hide Boots;common;2;0.02;boots
21;Studded Helmet;common;3;0.01;helmet
22;Studded Chest;common;5;0.00;chest
23;Studded Gloves;common;2;0.01;gloves
24;Studded Pants;common;4;0.00;pants
25;Studded Boots;common;3;0.01;boots
26;Chainmail Helmet;common;4;0.00;helmet
27;Chainmail Chest;common;6;0.00;chest
28;Chainmail Gloves;common;3;0.00;gloves
29;Chainmail Pants;common;5;0.00;pants
30;Chainmail Boots;common;4;0.00;boots
31;Militia Helmet;common;2;0.01;helmet
32;Militia Chest;common;3;0.01;chest
33;Militia Gloves;common;1;0.01;gloves
34;Militia Pants;common;2;0.01;pants
35;Militia Boots;common;2;0.01;boots
36;Woven Helmet;common;1;0.02;helmet
37;Woven Chest;common;2;0.02;chest
38;Woven Gloves;common;1;0.02;gloves
39;Woven Pants;common;2;0.02;pants
40;Woven Boots;common;1;0.02;boots
41;Scout Helmet;common;2;0.02;helmet
42;Scout Chest;common;3;0.01;chest
43;Scout Gloves;common;1;0.02;gloves
44;Scout Pants;common;2;0.02;pants
45;Scout Boots;common;2;0.02;boots
46;Rusted Helmet;common;3;0.00;helmet
47;Rusted Chest;common;4;0.00;chest
48;Rusted Gloves;common;2;0.00;gloves
49;Rusted Pants;common;3;0.00;pants
50;Rusted Boots;common;3;0.00;boots
51;Knights Helmet;rare;7;0.01;helmet
52;Knights Chest;rare;10;0.00;chest
53;Knights Gloves;rare;5;0.01;gloves
54;Knights Pants;rare;8;0.00;pants
55;Knights Boots;rare;6;0.01;boots
56;Rangers Helmet;rare;5;0.02;helmet
57;Rangers Chest;rare;7;0.02;chest
58;Rangers Gloves;rare;4;0.02;gloves
59;Rangers Pants;rare;6;0.02;pants
60;Rangers Boots;rare;5;0.02;boots
61;Templar Helmet;rare;8;0.00;helmet
62;Templar Chest;rare;11;0.00;chest
63;Templar Gloves;rare;6;0.00;gloves
64;Templar Pants;rare;9;0.00;pants
65;Templar Boots;rare;7;0.00;boots
66;Assassins Helmet;rare;4;0.03;helmet
67;Assassins Chest;rare;6;0.03;chest
68;Assassins Gloves;rare;3;0.03;gloves
69;Assassins Pants;rare;5;0.03;pants
70;Assassins Boots;rare;4;0.03;boots
71;Guardian Helmet;rare;9;0.00;helmet
72;Guardian Chest;rare;12;0.00;chest
73;Guardian Gloves;rare;7;0.00;gloves
74;Guardian Pants;rare;10;0.00;pants
75;Guardian Boots;rare;8;0.00;boots
76;Warden Helmet;rare;7;0.01;helmet
77;Warden Chest;rare;9;0.01;chest
78;Warden Gloves;rare;5;0.01;gloves
79;Warden Pants;rare;8;0.01;pants
80;Warden Boots;rare;6;0.01;boots
81;Dragonscale Helmet;epic;12;0.02;helmet
82;Dragonscale Chest;epic;16;0.01;chest
83;Dragonscale Gloves;epic;9;0.02;gloves
84;Dragonscale Pants;epic;13;0.01;pants
85;Dragonscale Boots;epic;11;0.02;boots
86;Phoenix Helmet;epic;11;0.03;helmet
87;Phoenix Chest;epic;15;0.02;chest
88;Phoenix Gloves;epic;8;0.03;gloves
89;Phoenix Pants;epic;12;0.02;pants
90;Phoenix Boots;epic;10;0.03;boots
91;Shadowlord Helmet;epic;13;0.02;helmet
92;Shadowlord Chest;epic;17;0.01;chest
93;Shadowlord Gloves;epic;10;0.02;gloves
94;Shadowlord Pants;epic;14;0.01;pants
95;Shadowlord Boots;epic;12;0.02;boots
96;Godslayer Helmet;legendary;18;0.03;helmet
97;Godslayer Chest;legendary;22;0.02;chest
98;Godslayer Gloves;legendary;14;0.03;gloves
99;Godslayer Pants;legendary;19;0.02;pants
100;Godslayer Boots;legendary;16;0.03;boots
