id;name;rarity
1;Old Boot;common
2;Broken Bottle;common
3;Rusty Nail;common
4;Torn Cloth;common
5;Chipped Mug;common
6;Empty Flask;common
7;Cracked Mirror;common
8;Bent Spoon;common
9;Moldy Bread;common
10;Broken Arrow;common
11;Frayed Rope;common
12;Rusty Key;common
13;Old Coin;common
14;Shattered Vase;common
15;Worn Glove;common
16;Tattered Map;common
17;Empty Sack;common
18;Broken Wheel;common
19;Rusty Chain;common
20;Cracked Bowl;common
21;Old Candle;common
22;Withered Flower;common
23;Bent Fork;common
24;Broken Comb;common
25;Rusty Horseshoe;common
26;Old Newspaper;common
27;Cracked Pot;common
28;Torn Book;common
29;Empty Jar;common
30;Rusty Hinge;common
